07/10 12:48:38 AM | 
07/10 12:48:38 AM | Parameters:
07/10 12:48:38 AM | AUX_WEIGHT=0.4
07/10 12:48:38 AM | BATCH_SIZE=256
07/10 12:48:38 AM | CUTOUT_LENGTH=16
07/10 12:48:38 AM | DATA_LOADER_TYPE=Torch
07/10 12:48:38 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/10 12:48:38 AM | DATASET=iccad19
07/10 12:48:38 AM | DROP_PATH_PROB=0.2
07/10 12:48:38 AM | EPOCHS=600
07/10 12:48:38 AM | FEALEN=32
07/10 12:48:38 AM | FILE=
07/10 12:48:38 AM | GENOTYPE=None
07/10 12:48:38 AM | GPUS=[0, 1, 2, 3]
07/10 12:48:38 AM | GRAD_CLIP=5.0
07/10 12:48:38 AM | INIT_CHANNELS=36
07/10 12:48:38 AM | INPUT_SIZE=32
07/10 12:48:38 AM | LAYERS=8
07/10 12:48:38 AM | LR=0.05
07/10 12:48:38 AM | MOMENTUM=0.9
07/10 12:48:38 AM | NAME=hsd-mg
07/10 12:48:38 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Fri_Jul_10_00:48:27_2020POIZUA5V
07/10 12:48:38 AM | PRINT_FREQ=50
07/10 12:48:38 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/10 12:48:38 AM | SAVE_PATH=
07/10 12:48:38 AM | SEED=2
07/10 12:48:38 AM | VAL_SET=0
07/10 12:48:38 AM | WEIGHT_DECAY=0.0003
07/10 12:48:38 AM | WORKERS=8
07/10 12:48:38 AM | 
07/10 12:48:38 AM | Logger is set - training start
07/10 12:49:15 AM | Model size = 1.311 MB
07/10 12:49:15 AM | Epoch 0 LR 0.05
07/10 12:49:26 AM | Train: [  1/600] Step 000/071 Loss: 1.024 Recall: 0.420 FA: 55 F1: 0.446429
07/10 12:49:26 AM | [82 55 69 50]
07/10 12:49:46 AM | Train: [  1/600] Step 050/071 Loss: 0.592 Recall: 0.839 FA: 6 F1: 0.892193
07/10 12:49:46 AM | [107   6  23 120]
07/10 12:49:57 AM | Train: [  1/600] Step 071/071 Loss: 0.527 Recall: 1.000 FA: 4 F1: 0.923077
07/10 12:49:57 AM | [21  4  0 24]
07/10 12:49:57 AM | Train: [  1/600] Final Recall 85.1317% FA 1527 F1: 84.3047%
07/10 12:49:57 AM | [7625 1527 1349 7724]
07/10 12:49:57 AM | Valid: [  1/600] Step 000/061 Loss: 0.489 Recall: 0.800 FA: 41 F1: 0.352941
07/10 12:49:57 AM | [200  41   3  12]
07/10 12:50:02 AM | Valid: [  1/600] Final Recall 87.7083% FA 1348 F1: 37.4389%
07/10 12:50:02 AM | [5852 1348   59  421]
07/10 12:50:02 AM | Valid: Time Spent: 5.010049s
07/10 12:50:02 AM | [0.3743886171631836]
07/10 12:50:05 AM | Model size = 1.341 MB
07/10 12:50:05 AM | Epoch 0 LR 0.05
07/10 12:50:06 AM | Train: [  1/600] Step 000/071 Loss: 0.991 Recall: 0.496 FA: 32 F1: 0.564815
07/10 12:50:06 AM | [101  32  62  61]
07/10 12:50:26 AM | Train: [  1/600] Step 050/071 Loss: 0.630 Recall: 0.857 FA: 13 F1: 0.879121
07/10 12:50:26 AM | [103  13  20 120]
07/10 12:50:34 AM | Train: [  1/600] Step 071/071 Loss: 0.566 Recall: 0.643 FA: 6 F1: 0.692308
07/10 12:50:34 AM | [15  6 10 18]
