07/10 04:41:36 AM | 
07/10 04:41:36 AM | Parameters:
07/10 04:41:36 AM | AUX_WEIGHT=0.4
07/10 04:41:36 AM | BATCH_SIZE=256
07/10 04:41:36 AM | CUTOUT_LENGTH=16
07/10 04:41:36 AM | DATA_LOADER_TYPE=Torch
07/10 04:41:36 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/10 04:41:36 AM | DATASET=iccad19
07/10 04:41:36 AM | DROP_PATH_PROB=0.2
07/10 04:41:36 AM | EPOCHS=600
07/10 04:41:36 AM | FEALEN=32
07/10 04:41:36 AM | FILE=
07/10 04:41:36 AM | GENOTYPE=None
07/10 04:41:36 AM | GPUS=[0, 1, 2, 3]
07/10 04:41:36 AM | GRAD_CLIP=5.0
07/10 04:41:36 AM | INIT_CHANNELS=36
07/10 04:41:36 AM | INPUT_SIZE=32
07/10 04:41:36 AM | LAYERS=8
07/10 04:41:36 AM | LR=0.05
07/10 04:41:36 AM | MOMENTUM=0.9
07/10 04:41:36 AM | NAME=hsd-mg
07/10 04:41:36 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Fri_Jul_10_04:41:24_2020UYATCQSX
07/10 04:41:36 AM | PRINT_FREQ=50
07/10 04:41:36 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/10 04:41:36 AM | SAVE_PATH=
07/10 04:41:36 AM | SEED=2
07/10 04:41:36 AM | VAL_SET=0
07/10 04:41:36 AM | WEIGHT_DECAY=0.0003
07/10 04:41:36 AM | WORKERS=8
07/10 04:41:36 AM | 
07/10 04:41:36 AM | Logger is set - training start
07/10 04:42:13 AM | Model size = 1.538 MB
07/10 04:42:13 AM | Epoch 0 LR 0.05
07/10 04:42:23 AM | Train: [  1/600] Step 000/071 Loss: 1.028 Recall: 0.486 FA: 27 F1: 0.580913
07/10 04:42:23 AM | [85 27 74 70]
07/10 04:42:46 AM | Train: [  1/600] Step 050/071 Loss: 0.555 Recall: 0.962 FA: 29 F1: 0.882759
07/10 04:42:46 AM | [ 94  29   5 128]
07/10 04:42:58 AM | Train: [  1/600] Step 071/071 Loss: 0.521 Recall: 0.769 FA: 6 F1: 0.769231
07/10 04:42:58 AM | [17  6  6 20]
07/10 04:42:58 AM | Train: [  1/600] Final Recall 84.5009% FA 1541 F1: 83.9810%
07/10 04:42:58 AM | [7477 1541 1427 7780]
07/10 04:42:58 AM | Valid: [  1/600] Step 000/061 Loss: 0.225 Recall: 0.067 FA: 3 F1: 0.105263
07/10 04:42:58 AM | [238   3  14   1]
07/10 04:43:03 AM | Valid: [  1/600] Final Recall 5.0000% FA 52 F1: 8.6331%
07/10 04:43:03 AM | [7148   52  456   24]
07/10 04:43:03 AM | Valid: Time Spent: 5.271620s
07/10 04:43:03 AM | [0.08633093525179857]
07/10 04:43:05 AM | Model size = 1.515 MB
07/10 04:43:05 AM | Epoch 0 LR 0.05
07/10 04:43:07 AM | Train: [  1/600] Step 000/071 Loss: 0.954 Recall: 0.511 FA: 35 F1: 0.576271
07/10 04:43:07 AM | [88 35 65 68]
07/10 04:43:28 AM | Train: [  1/600] Step 050/071 Loss: 0.602 Recall: 0.740 FA: 11 F1: 0.811715
07/10 04:43:28 AM | [114  11  34  97]
07/10 04:43:38 AM | Train: [  1/600] Step 071/071 Loss: 0.564 Recall: 0.895 FA: 3 F1: 0.871795
07/10 04:43:38 AM | [27  3  2 17]
07/10 04:43:38 AM | Train: [  1/600] Final Recall 84.2883% FA 1743 F1: 82.7808%
07/10 04:43:38 AM | [7476 1743 1415 7591]
