07/10 01:03:24 PM | 
07/10 01:03:24 PM | Parameters:
07/10 01:03:24 PM | AUX_WEIGHT=0.4
07/10 01:03:24 PM | BATCH_SIZE=256
07/10 01:03:24 PM | CUTOUT_LENGTH=16
07/10 01:03:24 PM | DATA_LOADER_TYPE=Torch
07/10 01:03:24 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/10 01:03:24 PM | DATASET=iccad19
07/10 01:03:24 PM | DROP_PATH_PROB=0.2
07/10 01:03:24 PM | EPOCHS=600
07/10 01:03:24 PM | FEALEN=32
07/10 01:03:24 PM | FILE=
07/10 01:03:24 PM | GENOTYPE=None
07/10 01:03:24 PM | GPUS=[0, 1, 2, 3]
07/10 01:03:24 PM | GRAD_CLIP=5.0
07/10 01:03:24 PM | INIT_CHANNELS=36
07/10 01:03:24 PM | INPUT_SIZE=32
07/10 01:03:24 PM | LAYERS=8
07/10 01:03:24 PM | LR=0.05
07/10 01:03:24 PM | MOMENTUM=0.9
07/10 01:03:24 PM | NAME=hsd-mg
07/10 01:03:24 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Fri_Jul_10_13:03:12_202029BS79KA
07/10 01:03:24 PM | PRINT_FREQ=50
07/10 01:03:24 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/10 01:03:24 PM | SAVE_PATH=
07/10 01:03:24 PM | SEED=2
07/10 01:03:24 PM | VAL_SET=0
07/10 01:03:24 PM | WEIGHT_DECAY=0.0003
07/10 01:03:24 PM | WORKERS=8
07/10 01:03:24 PM | 
07/10 01:03:24 PM | Logger is set - training start
07/10 01:04:06 PM | Model size = 1.473 MB
07/10 01:04:06 PM | Epoch 0 LR 0.05
07/10 01:04:32 PM | Train: [  1/600] Step 000/071 Loss: 0.980 Recall: 0.496 FA: 36 F1: 0.548077
07/10 01:04:32 PM | [105  36  58  57]
07/10 01:04:57 PM | Train: [  1/600] Step 050/071 Loss: 0.537 Recall: 0.910 FA: 8 F1: 0.923664
07/10 01:04:57 PM | [115   8  12 121]
07/10 01:05:08 PM | Train: [  1/600] Step 071/071 Loss: 0.499 Recall: 0.875 FA: 5 F1: 0.840000
07/10 01:05:08 PM | [20  5  3 21]
07/10 01:05:08 PM | Train: [  1/600] Final Recall 85.2399% FA 1481 F1: 84.6838%
07/10 01:05:08 PM | [7530 1481 1360 7854]
07/10 01:05:09 PM | Valid: [  1/600] Step 000/061 Loss: 0.489 Recall: 0.800 FA: 67 F1: 0.255319
07/10 01:05:09 PM | [174  67   3  12]
07/10 01:05:13 PM | Valid: [  1/600] Final Recall 82.0833% FA 1703 F1: 30.5782%
07/10 01:05:13 PM | [5497 1703   86  394]
07/10 01:05:13 PM | Valid: Time Spent: 4.438952s
07/10 01:05:13 PM | [0.30578191695770274]
07/10 01:05:15 PM | Model size = 1.545 MB
07/10 01:05:26 PM | Epoch 0 LR 0.05
07/10 01:05:33 PM | Train: [  1/600] Step 000/071 Loss: 0.958 Recall: 0.545 FA: 34 F1: 0.612403
07/10 01:05:33 PM | [77 34 66 79]
07/10 01:05:59 PM | Train: [  1/600] Step 050/071 Loss: 0.591 Recall: 0.897 FA: 25 F1: 0.848980
07/10 01:05:59 PM | [115  25  12 104]
07/10 01:06:08 PM | Train: [  1/600] Step 071/071 Loss: 0.534 Recall: 0.833 FA: 2 F1: 0.869565
07/10 01:06:08 PM | [23  2  4 20]
07/10 01:06:08 PM | Train: [  1/600] Final Recall 85.1723% FA 1563 F1: 84.2609%
07/10 01:06:08 PM | [7463 1563 1364 7835]
07/10 01:06:08 PM | Valid: [  1/600] Step 000/061 Loss: 0.931 Recall: 0.700 FA: 70 F1: 0.160920
07/10 01:06:08 PM | [176  70   3   7]
07/10 01:06:13 PM | Valid: [  1/600] Final Recall 87.8193% FA 2283 F1: 27.6011%
07/10 01:06:13 PM | [4888 2283   62  447]
07/10 01:06:13 PM | Valid: Time Spent: 4.610850s
07/10 01:06:13 PM | [0.27601111454152516]
07/10 01:06:15 PM | Model size = 1.610 MB
07/10 01:06:16 PM | Epoch 0 LR 0.05
07/10 01:06:17 PM | Train: [  1/600] Step 000/071 Loss: 0.909 Recall: 0.671 FA: 25 F1: 0.725869
07/10 01:06:17 PM | [91 25 46 94]
07/10 01:06:39 PM | Train: [  1/600] Step 050/071 Loss: 0.527 Recall: 0.952 FA: 15 F1: 0.919540
07/10 01:06:39 PM | [115  15   6 120]
07/10 01:06:49 PM | Train: [  1/600] Step 071/071 Loss: 0.487 Recall: 0.769 FA: 1 F1: 0.851064
07/10 01:06:49 PM | [22  1  6 20]
07/10 01:06:50 PM | Train: [  1/600] Final Recall 86.0836% FA 1436 F1: 85.1960%
07/10 01:06:50 PM | [7814 1436 1249 7726]
07/10 01:06:50 PM | Valid: [  1/600] Step 000/061 Loss: 0.272 Recall: 0.583 FA: 20 F1: 0.358974
07/10 01:06:50 PM | [224  20   5   7]
07/10 01:06:57 PM | Valid: [  1/600] Final Recall 65.7841% FA 617 F1: 45.1433%
07/10 01:06:57 PM | [6322  617  168  323]
07/10 01:06:57 PM | Valid: Time Spent: 7.022195s
07/10 01:06:57 PM | [0.45143256464011183]
07/10 01:06:59 PM | Model size = 1.500 MB
07/10 01:06:59 PM | Epoch 0 LR 0.05
07/10 01:07:02 PM | Train: [  1/600] Step 000/071 Loss: 0.912 Recall: 0.674 FA: 43 F1: 0.671815
07/10 01:07:02 PM | [84 43 42 87]
07/10 01:07:22 PM | Train: [  1/600] Step 050/071 Loss: 0.583 Recall: 0.782 FA: 6 F1: 0.855967
07/10 01:07:22 PM | [117   6  29 104]
07/10 01:07:30 PM | Train: [  1/600] Step 071/071 Loss: 0.547 Recall: 0.893 FA: 3 F1: 0.892857
07/10 01:07:30 PM | [18  3  3 25]
07/10 01:07:30 PM | Train: [  1/600] Final Recall 84.8128% FA 1678 F1: 83.3725%
07/10 01:07:30 PM | [7546 1678 1367 7634]
07/10 01:07:31 PM | Valid: [  1/600] Step 000/061 Loss: 0.227 Recall: 0.389 FA: 12 F1: 0.378378
07/10 01:07:31 PM | [226  12  11   7]
07/10 01:07:35 PM | Valid: [  1/600] Final Recall 40.0844% FA 410 F1: 35.3818%
07/10 01:07:35 PM | [6796  410  284  190]
07/10 01:07:35 PM | Valid: Time Spent: 4.623008s
07/10 01:07:35 PM | [0.3538175046554935]
07/10 01:07:37 PM | Model size = 1.323 MB
07/10 01:07:37 PM | Epoch 0 LR 0.05
07/10 01:07:40 PM | Train: [  1/600] Step 000/071 Loss: 0.936 Recall: 0.652 FA: 38 F1: 0.678967
07/10 01:07:40 PM | [77 38 49 92]
07/10 01:07:58 PM | Train: [  1/600] Step 050/071 Loss: 0.622 Recall: 0.812 FA: 12 F1: 0.854962
07/10 01:07:58 PM | [106  12  26 112]
07/10 01:08:05 PM | Train: [  1/600] Step 071/071 Loss: 0.577 Recall: 0.793 FA: 2 F1: 0.851852
07/10 01:08:05 PM | [18  2  6 23]
07/10 01:08:05 PM | Train: [  1/600] Final Recall 84.0018% FA 1612 F1: 83.3080%
07/10 01:08:05 PM | [7487 1612 1460 7666]
07/10 01:08:06 PM | Valid: [  1/600] Step 000/061 Loss: 0.636 Recall: 1.000 FA: 65 F1: 0.380952
07/10 01:08:06 PM | [171  65   0  20]
07/10 01:08:10 PM | Valid: [  1/600] Final Recall 93.8819% FA 1955 F1: 30.9673%
07/10 01:08:10 PM | [5001 1955   29  445]
07/10 01:08:10 PM | Valid: Time Spent: 5.030448s
07/10 01:08:10 PM | [0.30967292971468335]
07/10 01:08:13 PM | Model size = 1.266 MB
07/10 01:08:13 PM | Epoch 0 LR 0.05
07/10 01:08:15 PM | Train: [  1/600] Step 000/071 Loss: 0.975 Recall: 0.511 FA: 45 F1: 0.554217
07/10 01:08:15 PM | [76 45 66 69]
