07/10 03:38:29 PM | 
07/10 03:38:29 PM | Parameters:
07/10 03:38:29 PM | AUX_WEIGHT=0.4
07/10 03:38:29 PM | BATCH_SIZE=256
07/10 03:38:29 PM | CUTOUT_LENGTH=16
07/10 03:38:29 PM | DATA_LOADER_TYPE=Torch
07/10 03:38:29 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/10 03:38:29 PM | DATASET=iccad19
07/10 03:38:29 PM | DROP_PATH_PROB=0.2
07/10 03:38:29 PM | EPOCHS=600
07/10 03:38:29 PM | FEALEN=32
07/10 03:38:29 PM | FILE=
07/10 03:38:29 PM | GENOTYPE=None
07/10 03:38:29 PM | GPUS=[0, 1, 2, 3]
07/10 03:38:29 PM | GRAD_CLIP=5.0
07/10 03:38:29 PM | INIT_CHANNELS=36
07/10 03:38:29 PM | INPUT_SIZE=32
07/10 03:38:29 PM | LAYERS=8
07/10 03:38:29 PM | LR=0.05
07/10 03:38:29 PM | MOMENTUM=0.9
07/10 03:38:29 PM | NAME=hsd-mg
07/10 03:38:29 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Fri_Jul_10_15:38:18_2020X7N1VON8
07/10 03:38:29 PM | PRINT_FREQ=50
07/10 03:38:29 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/10 03:38:29 PM | SAVE_PATH=
07/10 03:38:29 PM | SEED=2
07/10 03:38:29 PM | VAL_SET=0
07/10 03:38:29 PM | WEIGHT_DECAY=0.0003
07/10 03:38:29 PM | WORKERS=8
07/10 03:38:29 PM | 
07/10 03:38:29 PM | Logger is set - training start
07/10 03:39:18 PM | Model size = 1.328 MB
07/10 03:39:18 PM | Epoch 0 LR 0.05
07/10 03:39:53 PM | Train: [  1/600] Step 000/071 Loss: 1.045 Recall: 0.537 FA: 72 F1: 0.519573
07/10 03:39:53 PM | [48 72 63 73]
07/10 03:40:14 PM | Train: [  1/600] Step 050/071 Loss: 0.529 Recall: 0.867 FA: 22 F1: 0.850575
07/10 03:40:14 PM | [106  22  17 111]
07/10 03:40:23 PM | Train: [  1/600] Step 071/071 Loss: 0.495 Recall: 0.909 FA: 3 F1: 0.888889
07/10 03:40:23 PM | [24  3  2 20]
07/10 03:40:23 PM | Train: [  1/600] Final Recall 86.2653% FA 1537 F1: 84.9656%
07/10 03:40:23 PM | [7536 1537 1257 7895]
07/10 03:40:23 PM | Valid: [  1/600] Step 000/061 Loss: 0.656 Recall: 0.800 FA: 55 F1: 0.292683
07/10 03:40:23 PM | [186  55   3  12]
07/10 03:40:28 PM | Valid: [  1/600] Final Recall 81.0417% FA 1635 F1: 31.0703%
07/10 03:40:28 PM | [5565 1635   91  389]
07/10 03:40:28 PM | Valid: Time Spent: 4.965813s
07/10 03:40:28 PM | [0.31070287539936103]
07/10 03:40:37 PM | Model size = 1.395 MB
07/10 03:40:37 PM | Epoch 0 LR 0.05
07/10 03:40:43 PM | Train: [  1/600] Step 000/071 Loss: 1.202 Recall: 0.257 FA: 95 F1: 0.263158
07/10 03:40:43 PM | [ 25  95 101  35]
07/10 03:41:04 PM | Train: [  1/600] Step 050/071 Loss: 0.571 Recall: 0.831 FA: 14 F1: 0.852174
07/10 03:41:04 PM | [124  14  20  98]
07/10 03:41:13 PM | Train: [  1/600] Step 071/071 Loss: 0.518 Recall: 0.905 FA: 5 F1: 0.844444
07/10 03:41:13 PM | [23  5  2 19]
07/10 03:41:13 PM | Train: [  1/600] Final Recall 84.7011% FA 1598 F1: 83.7946%
07/10 03:41:13 PM | [7476 1598 1400 7751]
07/10 03:41:13 PM | Valid: [  1/600] Step 000/061 Loss: 0.517 Recall: 0.600 FA: 37 F1: 0.226415
07/10 03:41:13 PM | [209  37   4   6]
07/10 03:41:17 PM | Valid: [  1/600] Final Recall 68.9587% FA 1102 F1: 35.7798%
07/10 03:41:17 PM | [6069 1102  158  351]
07/10 03:41:17 PM | Valid: Time Spent: 4.197617s
07/10 03:41:17 PM | [0.3577981651376147]
07/10 03:41:26 PM | Model size = 1.482 MB
07/10 03:41:26 PM | Epoch 0 LR 0.05
07/10 03:41:27 PM | Train: [  1/600] Step 000/071 Loss: 0.965 Recall: 0.619 FA: 40 F1: 0.639344
07/10 03:41:27 PM | [90 40 48 78]
07/10 03:41:49 PM | Train: [  1/600] Step 050/071 Loss: 0.555 Recall: 0.948 FA: 14 F1: 0.924188
07/10 03:41:49 PM | [107  14   7 128]
