07/10 07:03:08 PM | 
07/10 07:03:08 PM | Parameters:
07/10 07:03:08 PM | AUX_WEIGHT=0.4
07/10 07:03:08 PM | BATCH_SIZE=256
07/10 07:03:08 PM | CUTOUT_LENGTH=16
07/10 07:03:08 PM | DATA_LOADER_TYPE=Torch
07/10 07:03:08 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/10 07:03:08 PM | DATASET=iccad19
07/10 07:03:08 PM | DROP_PATH_PROB=0.2
07/10 07:03:08 PM | EPOCHS=600
07/10 07:03:08 PM | FEALEN=32
07/10 07:03:08 PM | FILE=
07/10 07:03:08 PM | GENOTYPE=None
07/10 07:03:08 PM | GPUS=[0, 1, 2, 3]
07/10 07:03:08 PM | GRAD_CLIP=5.0
07/10 07:03:08 PM | INIT_CHANNELS=36
07/10 07:03:08 PM | INPUT_SIZE=32
07/10 07:03:08 PM | LAYERS=8
07/10 07:03:08 PM | LR=0.05
07/10 07:03:08 PM | MOMENTUM=0.9
07/10 07:03:08 PM | NAME=hsd-mg
07/10 07:03:08 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Fri_Jul_10_19:02:57_2020KR4XBJCQ
07/10 07:03:08 PM | PRINT_FREQ=50
07/10 07:03:08 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/10 07:03:08 PM | SAVE_PATH=
07/10 07:03:08 PM | SEED=2
07/10 07:03:08 PM | VAL_SET=0
07/10 07:03:08 PM | WEIGHT_DECAY=0.0003
07/10 07:03:08 PM | WORKERS=8
07/10 07:03:08 PM | 
07/10 07:03:08 PM | Logger is set - training start
07/10 07:04:07 PM | Model size = 1.554 MB
07/10 07:04:07 PM | Epoch 0 LR 0.05
07/10 07:04:17 PM | Train: [  1/600] Step 000/071 Loss: 1.071 Recall: 0.378 FA: 96 F1: 0.354244
07/10 07:04:17 PM | [33 96 79 48]
07/10 07:04:41 PM | Train: [  1/600] Step 050/071 Loss: 0.510 Recall: 0.928 FA: 14 F1: 0.909804
07/10 07:04:41 PM | [117  14   9 116]
07/10 07:04:53 PM | Train: [  1/600] Step 071/071 Loss: 0.476 Recall: 0.769 FA: 2 F1: 0.833333
07/10 07:04:53 PM | [21  2  6 20]
07/10 07:04:53 PM | Train: [  1/600] Final Recall 85.6188% FA 1508 F1: 84.7142%
07/10 07:04:53 PM | [7587 1508 1313 7817]
07/10 07:04:53 PM | Valid: [  1/600] Step 000/061 Loss: 0.385 Recall: 0.800 FA: 38 F1: 0.369231
07/10 07:04:53 PM | [203  38   3  12]
07/10 07:04:58 PM | Valid: [  1/600] Final Recall 79.5833% FA 1097 F1: 38.9995%
07/10 07:04:58 PM | [6103 1097   98  382]
07/10 07:04:58 PM | Valid: Time Spent: 5.197167s
07/10 07:04:58 PM | [0.3899948953547729]
07/10 07:05:14 PM | Model size = 1.595 MB
07/10 07:05:14 PM | Epoch 0 LR 0.05
07/10 07:05:16 PM | Train: [  1/600] Step 000/071 Loss: 0.938 Recall: 0.616 FA: 32 F1: 0.666667
07/10 07:05:16 PM | [86 32 53 85]
07/10 07:05:37 PM | Train: [  1/600] Step 050/071 Loss: 0.515 Recall: 0.925 FA: 13 F1: 0.909836
07/10 07:05:37 PM | [123  13   9 111]
07/10 07:05:45 PM | Train: [  1/600] Step 071/071 Loss: 0.488 Recall: 1.000 FA: 6 F1: 0.869565
07/10 07:05:45 PM | [23  6  0 20]
07/10 07:05:45 PM | Train: [  1/600] Final Recall 85.4422% FA 1429 F1: 84.9818%
07/10 07:05:45 PM | [7660 1429 1330 7806]
07/10 07:05:45 PM | Valid: [  1/600] Step 000/061 Loss: 0.214 Recall: 0.300 FA: 11 F1: 0.250000
07/10 07:05:45 PM | [235  11   7   3]
07/10 07:05:50 PM | Valid: [  1/600] Final Recall 33.5953% FA 316 F1: 34.3373%
07/10 07:05:50 PM | [6855  316  338  171]
07/10 07:05:50 PM | Valid: Time Spent: 4.286076s
07/10 07:05:50 PM | [0.3433734939759036]
07/10 08:19:49 PM | Model size = 1.637 MB
07/10 08:19:49 PM | Epoch 0 LR 0.05
07/10 08:19:53 PM | Train: [  1/600] Step 000/071 Loss: 1.001 Recall: 0.565 FA: 60 F1: 0.558491
