07/13 02:59:43 PM | 
07/13 02:59:43 PM | Parameters:
07/13 02:59:43 PM | AUX_WEIGHT=0.4
07/13 02:59:43 PM | BATCH_SIZE=128
07/13 02:59:43 PM | CUTOUT_LENGTH=16
07/13 02:59:43 PM | DATA_LOADER_TYPE=Torch
07/13 02:59:43 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/13 02:59:43 PM | DATASET=iccad19
07/13 02:59:43 PM | DROP_PATH_PROB=0.2
07/13 02:59:43 PM | EPOCHS=600
07/13 02:59:43 PM | FEALEN=32
07/13 02:59:43 PM | FILE=
07/13 02:59:43 PM | GENOTYPE=Genotype(normal=[[('sep_conv_3x3', 0), ('dil_conv_3x3', 0)], [('sep_conv_3x3', 2), ('dil_conv_5x5', 1)], [('sep_conv_3x3', 1), ('sep_conv_5x5', 2)], [('sep_conv_5x5', 4), ('sep_conv_5x5', 1)]], normal_concat=range(2, 6), reduce=[[('sep_conv_5x5', 1), ('sep_conv_5x5', 0)], [('sep_conv_5x5', 2), ('dil_conv_5x5', 1)], [('dil_conv_3x3', 1), ('sep_conv_3x3', 3)], [('sep_conv_3x3', 4), ('sep_conv_5x5', 2)]], reduce_concat=range(2, 6))
07/13 02:59:43 PM | GPUS=[0, 1, 2, 3]
07/13 02:59:43 PM | GRAD_CLIP=5.0
07/13 02:59:43 PM | INIT_CHANNELS=36
07/13 02:59:43 PM | INPUT_SIZE=32
07/13 02:59:43 PM | LAYERS=15
07/13 02:59:43 PM | LR=0.05
07/13 02:59:43 PM | MOMENTUM=0.9
07/13 02:59:43 PM | NAME=hsd-mg
07/13 02:59:43 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Mon_Jul_13_14:59:29_20209M9M8GKT
07/13 02:59:43 PM | PRINT_FREQ=50
07/13 02:59:43 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/13 02:59:43 PM | SAVE_PATH=
07/13 02:59:43 PM | SEED=2
07/13 02:59:43 PM | VAL_SET=0
07/13 02:59:43 PM | WEIGHT_DECAY=0.0003
07/13 02:59:43 PM | WORKERS=8
07/13 02:59:43 PM | 
07/13 02:59:43 PM | Logger is set - training start
07/13 03:00:17 PM | Model size = 3.514 MB
07/13 03:02:24 PM | Epoch 0 LR 0.04999965730618567
07/13 03:02:50 PM | Train: [  1/600] Step 000/142 Loss: 1.042 Recall: 0.222 FA: 8 F1: 0.329412
07/13 03:02:50 PM | [57  8 49 14]
07/13 03:03:58 PM | Train: [  1/600] Step 050/142 Loss: 0.851 Recall: 0.727 FA: 14 F1: 0.750000
07/13 03:03:58 PM | [48 14 18 48]
07/13 03:05:06 PM | Train: [  1/600] Step 100/142 Loss: 0.781 Recall: 0.879 FA: 12 F1: 0.852941
07/13 03:05:06 PM | [50 12  8 58]
07/13 03:06:10 PM | Train: [  1/600] Step 142/142 Loss: 0.726 Recall: 0.812 FA: 1 F1: 0.881356
07/13 03:06:10 PM | [16  1  6 26]
07/13 03:06:10 PM | Train: [  1/600] Final Recall 73.9849% FA 2130 F1: 74.9986%
07/13 03:06:10 PM | [6958 2130 2377 6760]
07/13 03:06:11 PM | Valid: [  1/600] Step 000/122 Loss: 0.291 Recall: 0.875 FA: 15 F1: 0.466667
07/13 03:06:11 PM | [105  15   1   7]
07/13 03:06:47 PM | Valid: [  1/600] Step 050/122 Loss: 0.327 Recall: 0.667 FA: 21 F1: 0.258065
07/13 03:06:47 PM | [101  21   2   4]
