07/09 12:09:34 AM | 
07/09 12:09:34 AM | Parameters:
07/09 12:09:34 AM | AUX_WEIGHT=0.4
07/09 12:09:34 AM | BATCH_SIZE=256
07/09 12:09:34 AM | CUTOUT_LENGTH=16
07/09 12:09:34 AM | DATA_LOADER_TYPE=Torch
07/09 12:09:34 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 12:09:34 AM | DATASET=iccad19
07/09 12:09:34 AM | DROP_PATH_PROB=0.2
07/09 12:09:34 AM | EPOCHS=600
07/09 12:09:34 AM | FEALEN=32
07/09 12:09:34 AM | FILE=
07/09 12:09:34 AM | GENOTYPE=None
07/09 12:09:34 AM | GPUS=[0, 1, 2, 3]
07/09 12:09:34 AM | GRAD_CLIP=5.0
07/09 12:09:34 AM | INIT_CHANNELS=36
07/09 12:09:34 AM | INPUT_SIZE=32
07/09 12:09:34 AM | LAYERS=15
07/09 12:09:34 AM | LR=0.05
07/09 12:09:34 AM | MOMENTUM=0.9
07/09 12:09:34 AM | NAME=hsd-mg
07/09 12:09:34 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_00:09:24_2020O755KX3C
07/09 12:09:34 AM | PRINT_FREQ=50
07/09 12:09:34 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 12:09:34 AM | SAVE_PATH=
07/09 12:09:34 AM | SEED=2
07/09 12:09:34 AM | VAL_SET=0
07/09 12:09:34 AM | WEIGHT_DECAY=0.0003
07/09 12:09:34 AM | WORKERS=8
07/09 12:09:34 AM | 
07/09 12:09:34 AM | Logger is set - training start
07/09 12:10:01 AM | Model size = 2.074 MB
07/09 12:10:01 AM | Epoch 0 LR 0.037500000000000006
07/09 12:10:11 AM | Train: [  1/600] Step 000/071 Loss: 1.043 Recall: 0.487 FA: 96 F1: 0.424908
07/09 12:10:11 AM | [41 96 61 58]
07/09 12:10:42 AM | Train: [  1/600] Step 050/071 Loss: 0.573 Recall: 0.860 FA: 26 F1: 0.834586
07/09 12:10:42 AM | [101  26  18 111]
07/09 12:10:59 AM | Train: [  1/600] Step 071/071 Loss: 0.529 Recall: 0.962 FA: 4 F1: 0.909091
07/09 12:10:59 AM | [19  4  1 25]
07/09 12:10:59 AM | Train: [  1/600] Final Recall 85.4094% FA 1629 F1: 84.1246%
07/09 12:10:59 AM | [7364 1629 1347 7885]
07/09 12:10:59 AM | Valid: [  1/600] Step 000/061 Loss: 0.298 Recall: 0.846 FA: 42 F1: 0.333333
07/09 12:10:59 AM | [201  42   2  11]
07/09 12:11:03 AM | Valid: [  1/600] Final Recall 84.6645% FA 870 F1: 36.6022%
07/09 12:11:03 AM | [3937  870   48  265]
07/09 12:11:03 AM | Valid: Time Spent: 4.489650s
07/09 12:11:03 AM | 

07/09 12:11:03 AM | Epoch 1 LR 0.012500000000000006
07/09 12:11:05 AM | Train: [  2/600] Step 000/071 Loss: 0.500 Recall: 0.955 FA: 33 F1: 0.848000
07/09 12:11:05 AM | [112  33   5 106]
07/09 12:11:38 AM | Train: [  2/600] Step 050/071 Loss: 0.342 Recall: 0.946 FA: 9 F1: 0.938931
07/09 12:11:38 AM | [117   9   7 123]
07/09 12:11:51 AM | Train: [  2/600] Step 071/071 Loss: 0.332 Recall: 0.923 FA: 0 F1: 0.960000
07/09 12:11:51 AM | [23  0  2 24]
07/09 12:11:51 AM | Train: [  2/600] Final Recall 92.5330% FA 1031 F1: 90.7686%
07/09 12:11:51 AM | [8114 1031  678 8402]
07/09 12:11:51 AM | Valid: [  2/600] Step 000/061 Loss: 0.669 Recall: 0.824 FA: 50 F1: 0.345679
07/09 12:11:51 AM | [189  50   3  14]
07/09 12:11:56 AM | Valid: [  2/600] Final Recall 90.1538% FA 872 F1: 39.3289%
07/09 12:11:56 AM | [3923  872   32  293]
07/09 12:11:56 AM | Valid: Time Spent: 4.421145s
07/09 12:11:56 AM | 

07/09 12:11:56 AM | Epoch 2 LR 0.0
07/09 12:11:57 AM | Train: [  3/600] Step 000/071 Loss: 0.270 Recall: 0.950 FA: 12 F1: 0.927419
07/09 12:11:57 AM | [123  12   6 115]
07/09 12:12:29 AM | Train: [  3/600] Step 050/071 Loss: 0.290 Recall: 0.910 FA: 8 F1: 0.923664
07/09 12:12:29 AM | [115   8  12 121]
07/09 12:12:42 AM | Train: [  3/600] Step 071/071 Loss: 0.291 Recall: 1.000 FA: 4 F1: 0.913043
07/09 12:12:42 AM | [24  4  0 21]
07/09 12:12:42 AM | Train: [  3/600] Final Recall 92.0977% FA 712 F1: 92.1282%
07/09 12:12:42 AM | [8427  712  718 8368]
07/09 12:12:42 AM | Valid: [  3/600] Step 000/061 Loss: 0.310 Recall: 0.947 FA: 23 F1: 0.600000
07/09 12:12:42 AM | [214  23   1  18]
07/09 12:12:46 AM | Valid: [  3/600] Final Recall 85.3372% FA 579 F1: 48.0595%
07/09 12:12:46 AM | [4200  579   50  291]
07/09 12:12:46 AM | Valid: Time Spent: 4.411551s
07/09 12:12:46 AM | 

07/09 12:12:46 AM | [0.36602209944751385, 0.3932885906040268, 0.4805945499587118]
