07/09 12:18:00 AM | 
07/09 12:18:00 AM | Parameters:
07/09 12:18:00 AM | AUX_WEIGHT=0.4
07/09 12:18:00 AM | BATCH_SIZE=256
07/09 12:18:00 AM | CUTOUT_LENGTH=16
07/09 12:18:00 AM | DATA_LOADER_TYPE=Torch
07/09 12:18:00 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 12:18:00 AM | DATASET=iccad19
07/09 12:18:00 AM | DROP_PATH_PROB=0.2
07/09 12:18:00 AM | EPOCHS=600
07/09 12:18:00 AM | FEALEN=32
07/09 12:18:00 AM | FILE=
07/09 12:18:00 AM | GENOTYPE=None
07/09 12:18:00 AM | GPUS=[0, 1, 2, 3]
07/09 12:18:00 AM | GRAD_CLIP=5.0
07/09 12:18:00 AM | INIT_CHANNELS=36
07/09 12:18:00 AM | INPUT_SIZE=32
07/09 12:18:00 AM | LAYERS=15
07/09 12:18:00 AM | LR=0.05
07/09 12:18:00 AM | MOMENTUM=0.9
07/09 12:18:00 AM | NAME=hsd-mg
07/09 12:18:00 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_00:17:50_2020B29F57IM
07/09 12:18:00 AM | PRINT_FREQ=50
07/09 12:18:00 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 12:18:00 AM | SAVE_PATH=
07/09 12:18:00 AM | SEED=2
07/09 12:18:00 AM | VAL_SET=0
07/09 12:18:00 AM | WEIGHT_DECAY=0.0003
07/09 12:18:00 AM | WORKERS=8
07/09 12:18:00 AM | 
07/09 12:18:00 AM | Logger is set - training start
07/09 12:18:26 AM | Model size = 2.074 MB
07/09 12:18:26 AM | Epoch 0 LR 0.037500000000000006
07/09 12:18:37 AM | Train: [  1/600] Step 000/071 Loss: 1.043 Recall: 0.487 FA: 96 F1: 0.424908
07/09 12:18:37 AM | [41 96 61 58]
07/09 12:19:09 AM | Train: [  1/600] Step 050/071 Loss: 0.579 Recall: 0.868 FA: 12 F1: 0.885375
07/09 12:19:09 AM | [115  12  17 112]
07/09 12:19:25 AM | Train: [  1/600] Step 071/071 Loss: 0.528 Recall: 0.923 FA: 3 F1: 0.905660
07/09 12:19:25 AM | [20  3  2 24]
07/09 12:19:25 AM | Train: [  1/600] Final Recall 85.4311% FA 1640 F1: 84.0876%
07/09 12:19:25 AM | [7353 1640 1345 7887]
07/09 12:19:25 AM | Valid: [  1/600] Step 000/061 Loss: 0.582 Recall: 1.000 FA: 81 F1: 0.242991
07/09 12:19:25 AM | [162  81   0  13]
07/09 12:19:32 AM | Valid: [  1/600] Final Recall 98.5656% FA 2406 F1: 28.5037%
07/09 12:19:32 AM | [4786 2406    7  481]
07/09 12:19:32 AM | Valid: Time Spent: 6.814873s
07/09 12:19:32 AM | 

07/09 12:19:32 AM | Epoch 1 LR 0.012500000000000006
07/09 12:19:34 AM | Train: [  2/600] Step 000/071 Loss: 0.510 Recall: 0.991 FA: 46 F1: 0.823970
07/09 12:19:34 AM | [ 99  46   1 110]
07/09 12:20:06 AM | Train: [  2/600] Step 050/071 Loss: 0.341 Recall: 0.923 FA: 7 F1: 0.933852
07/09 12:20:06 AM | [119   7  10 120]
07/09 12:20:20 AM | Train: [  2/600] Step 071/071 Loss: 0.328 Recall: 0.885 FA: 0 F1: 0.938776
07/09 12:20:20 AM | [23  0  3 23]
07/09 12:20:20 AM | Train: [  2/600] Final Recall 92.4119% FA 1005 F1: 90.8313%
07/09 12:20:20 AM | [8140 1005  689 8391]
07/09 12:20:20 AM | Valid: [  2/600] Step 000/061 Loss: 0.381 Recall: 0.947 FA: 37 F1: 0.486486
07/09 12:20:20 AM | [200  37   1  18]
07/09 12:20:27 AM | Valid: [  2/600] Final Recall 89.6130% FA 1264 F1: 40.0911%
07/09 12:20:27 AM | [5925 1264   51  440]
07/09 12:20:27 AM | Valid: Time Spent: 6.690196s
07/09 12:20:27 AM | 

07/09 12:20:27 AM | Epoch 2 LR 0.0
07/09 12:20:28 AM | Train: [  3/600] Step 000/071 Loss: 0.273 Recall: 0.959 FA: 12 F1: 0.931727
07/09 12:20:28 AM | [123  12   5 116]
07/09 12:21:01 AM | Train: [  3/600] Step 050/071 Loss: 0.287 Recall: 0.910 FA: 7 F1: 0.927203
07/09 12:21:01 AM | [116   7  12 121]
07/09 12:21:14 AM | Train: [  3/600] Step 071/071 Loss: 0.287 Recall: 1.000 FA: 3 F1: 0.933333
07/09 12:21:14 AM | [25  3  0 21]
07/09 12:21:14 AM | Train: [  3/600] Final Recall 93.2644% FA 763 F1: 92.4958%
07/09 12:21:14 AM | [8376  763  612 8474]
07/09 12:21:14 AM | Valid: [  3/600] Step 000/061 Loss: 0.372 Recall: 0.773 FA: 29 F1: 0.500000
07/09 12:21:14 AM | [205  29   5  17]
07/09 12:21:23 AM | Valid: [  3/600] Final Recall 80.0425% FA 875 F1: 43.7609%
07/09 12:21:23 AM | [6084  875   94  377]
07/09 12:21:23 AM | Valid: Time Spent: 8.781983s
07/09 12:21:23 AM | 

07/09 12:21:23 AM | [0.28503703703703703, 0.40091116173120733, 0.4376088218224028]
