07/09 12:26:37 AM | 
07/09 12:26:37 AM | Parameters:
07/09 12:26:37 AM | AUX_WEIGHT=0.4
07/09 12:26:37 AM | BATCH_SIZE=256
07/09 12:26:37 AM | CUTOUT_LENGTH=16
07/09 12:26:37 AM | DATA_LOADER_TYPE=Torch
07/09 12:26:37 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 12:26:37 AM | DATASET=iccad19
07/09 12:26:37 AM | DROP_PATH_PROB=0.2
07/09 12:26:37 AM | EPOCHS=600
07/09 12:26:37 AM | FEALEN=32
07/09 12:26:37 AM | FILE=
07/09 12:26:37 AM | GENOTYPE=None
07/09 12:26:37 AM | GPUS=[0, 1, 2, 3]
07/09 12:26:37 AM | GRAD_CLIP=5.0
07/09 12:26:37 AM | INIT_CHANNELS=36
07/09 12:26:37 AM | INPUT_SIZE=32
07/09 12:26:37 AM | LAYERS=8
07/09 12:26:37 AM | LR=0.05
07/09 12:26:37 AM | MOMENTUM=0.9
07/09 12:26:37 AM | NAME=hsd-mg
07/09 12:26:37 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_00:26:26_2020FTTYN64L
07/09 12:26:37 AM | PRINT_FREQ=50
07/09 12:26:37 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 12:26:37 AM | SAVE_PATH=
07/09 12:26:37 AM | SEED=2
07/09 12:26:37 AM | VAL_SET=0
07/09 12:26:37 AM | WEIGHT_DECAY=0.0003
07/09 12:26:37 AM | WORKERS=8
07/09 12:26:37 AM | 
07/09 12:26:37 AM | Logger is set - training start
07/09 12:27:03 AM | Model size = 1.391 MB
07/09 12:27:03 AM | Epoch 0 LR 0.037500000000000006
07/09 12:27:12 AM | Train: [  1/600] Step 000/071 Loss: 1.084 Recall: 0.492 FA: 93 F1: 0.438849
07/09 12:27:12 AM | [39 93 63 61]
07/09 12:27:29 AM | Train: [  1/600] Step 050/071 Loss: 0.524 Recall: 0.826 FA: 13 F1: 0.860377
07/09 12:27:29 AM | [105  13  24 114]
07/09 12:27:39 AM | Train: [  1/600] Step 071/071 Loss: 0.487 Recall: 0.913 FA: 3 F1: 0.893617
07/09 12:27:39 AM | [23  3  2 21]
07/09 12:27:39 AM | Train: [  1/600] Final Recall 85.9863% FA 1448 F1: 85.1660%
07/09 12:27:39 AM | [7693 1448 1273 7811]
07/09 12:27:39 AM | Valid: [  1/600] Step 000/061 Loss: 0.786 Recall: 0.846 FA: 56 F1: 0.275000
07/09 12:27:39 AM | [187  56   2  11]
07/09 12:27:42 AM | Valid: [  1/600] Final Recall 82.9918% FA 1595 F1: 32.5563%
07/09 12:27:42 AM | [5597 1595   83  405]
