07/09 12:43:27 AM | 
07/09 12:43:27 AM | Parameters:
07/09 12:43:27 AM | AUX_WEIGHT=0.4
07/09 12:43:27 AM | BATCH_SIZE=256
07/09 12:43:27 AM | CUTOUT_LENGTH=16
07/09 12:43:27 AM | DATA_LOADER_TYPE=Torch
07/09 12:43:27 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 12:43:27 AM | DATASET=iccad19
07/09 12:43:27 AM | DROP_PATH_PROB=0.2
07/09 12:43:27 AM | EPOCHS=600
07/09 12:43:27 AM | FEALEN=32
07/09 12:43:27 AM | FILE=
07/09 12:43:27 AM | GENOTYPE=None
07/09 12:43:27 AM | GPUS=[0, 1, 2, 3]
07/09 12:43:27 AM | GRAD_CLIP=5.0
07/09 12:43:27 AM | INIT_CHANNELS=36
07/09 12:43:27 AM | INPUT_SIZE=32
07/09 12:43:27 AM | LAYERS=8
07/09 12:43:27 AM | LR=0.05
07/09 12:43:27 AM | MOMENTUM=0.9
07/09 12:43:27 AM | NAME=hsd-mg
07/09 12:43:27 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_00:43:17_2020WS3XG5UO
07/09 12:43:27 AM | PRINT_FREQ=50
07/09 12:43:27 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 12:43:27 AM | SAVE_PATH=
07/09 12:43:27 AM | SEED=2
07/09 12:43:27 AM | VAL_SET=0
07/09 12:43:27 AM | WEIGHT_DECAY=0.0003
07/09 12:43:27 AM | WORKERS=8
07/09 12:43:27 AM | 
07/09 12:43:27 AM | Logger is set - training start
07/09 12:43:52 AM | Model size = 1.391 MB
07/09 12:43:52 AM | Epoch 0 LR 0.0
07/09 12:44:02 AM | Train: [  1/600] Step 000/071 Loss: 1.075 Recall: 0.540 FA: 86 F1: 0.483755
07/09 12:44:02 AM | [46 86 57 67]
07/09 12:44:19 AM | Train: [  1/600] Step 050/071 Loss: 1.096 Recall: 0.630 FA: 70 F1: 0.589831
07/09 12:44:19 AM | [48 70 51 87]
07/09 12:44:28 AM | Train: [  1/600] Step 071/071 Loss: 1.093 Recall: 0.522 FA: 20 F1: 0.436364
07/09 12:44:28 AM | [ 6 20 11 12]
07/09 12:44:28 AM | Train: [  1/600] Final Recall 52.0365% FA 6301 F1: 47.0068%
07/09 12:44:28 AM | [2840 6301 4357 4727]
07/09 12:44:29 AM | Valid: [  1/600] Step 000/061 Loss: 0.737 Recall: 0.462 FA: 132 F1: 0.079470
07/09 12:44:29 AM | [111 132   7   6]
07/09 12:44:32 AM | Valid: [  1/600] Final Recall 38.5246% FA 4118 F1: 7.8431%
07/09 12:44:32 AM | [3074 4118  300  188]
07/09 12:44:32 AM | Valid: Time Spent: 3.946199s
07/09 12:44:32 AM | 

07/09 12:44:32 AM | [0.0784313725490196]
07/09 12:44:32 AM | Model size = 1.365 MB
07/09 12:44:32 AM | Epoch 0 LR 0.0
07/09 12:44:34 AM | Train: [  1/600] Step 000/071 Loss: 1.112 Recall: 0.331 FA: 91 F1: 0.323077
07/09 12:44:34 AM | [38 91 85 42]
07/09 12:44:52 AM | Train: [  1/600] Step 050/071 Loss: 1.117 Recall: 0.369 FA: 97 F1: 0.340909
07/09 12:44:52 AM | [37 97 77 45]
07/09 12:45:00 AM | Train: [  1/600] Step 071/071 Loss: 1.118 Recall: 0.250 FA: 21 F1: 0.217391
07/09 12:45:00 AM | [ 8 21 15  5]
07/09 12:45:00 AM | Train: [  1/600] Final Recall 37.5875% FA 6737 F1: 35.3901%
07/09 12:45:00 AM | [2485 6737 5619 3384]
07/09 12:45:00 AM | Valid: [  1/600] Step 000/061 Loss: 0.780 Recall: 0.211 FA: 165 F1: 0.042553
07/09 12:45:00 AM | [ 72 165  15   4]
07/09 12:45:03 AM | Valid: [  1/600] Final Recall 33.6049% FA 4827 F1: 6.0186%
07/09 12:45:03 AM | [2362 4827  326  165]
07/09 12:45:03 AM | Valid: Time Spent: 3.367382s
07/09 12:45:03 AM | 

07/09 12:45:03 AM | [0.060186029545869046]
07/09 12:45:03 AM | Model size = 1.616 MB
07/09 12:45:03 AM | Epoch 0 LR 0.0
07/09 12:45:05 AM | Train: [  1/600] Step 000/071 Loss: 0.781 Recall: 0.703 FA: 26 F1: 0.737705
07/09 12:45:05 AM | [102  26  38  90]
07/09 12:45:28 AM | Train: [  1/600] Step 050/071 Loss: 0.825 Recall: 0.730 FA: 25 F1: 0.754237
07/09 12:45:28 AM | [109  25  33  89]
07/09 12:45:37 AM | Train: [  1/600] Step 071/071 Loss: 0.822 Recall: 0.864 FA: 5 F1: 0.826087
07/09 12:45:37 AM | [22  5  3 19]
07/09 12:45:37 AM | Train: [  1/600] Final Recall 69.1170% FA 1949 F1: 72.6358%
07/09 12:45:37 AM | [7080 1949 2840 6356]
07/09 12:45:37 AM | Valid: [  1/600] Step 000/061 Loss: 0.762 Recall: 0.864 FA: 91 F1: 0.287879
07/09 12:45:37 AM | [143  91   3  19]
07/09 12:45:44 AM | Valid: [  1/600] Final Recall 85.7749% FA 2520 F1: 23.7997%
07/09 12:45:44 AM | [4439 2520   67  404]
07/09 12:45:44 AM | Valid: Time Spent: 6.454053s
07/09 12:45:44 AM | 

07/09 12:45:44 AM | [0.23799705449189987]
07/09 12:45:44 AM | Model size = 1.614 MB
07/09 12:45:44 AM | Epoch 0 LR 0.0
07/09 12:45:45 AM | Train: [  1/600] Step 000/071 Loss: 1.055 Recall: 0.360 FA: 49 F1: 0.401961
07/09 12:45:45 AM | [93 49 73 41]
07/09 12:46:07 AM | Train: [  1/600] Step 050/071 Loss: 1.071 Recall: 0.252 FA: 60 F1: 0.284314
07/09 12:46:07 AM | [81 60 86 29]
