07/09 12:47:44 AM | 
07/09 12:47:44 AM | Parameters:
07/09 12:47:44 AM | AUX_WEIGHT=0.4
07/09 12:47:44 AM | BATCH_SIZE=256
07/09 12:47:44 AM | CUTOUT_LENGTH=16
07/09 12:47:44 AM | DATA_LOADER_TYPE=Torch
07/09 12:47:44 AM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 12:47:44 AM | DATASET=iccad19
07/09 12:47:44 AM | DROP_PATH_PROB=0.2
07/09 12:47:44 AM | EPOCHS=600
07/09 12:47:44 AM | FEALEN=32
07/09 12:47:44 AM | FILE=
07/09 12:47:44 AM | GENOTYPE=None
07/09 12:47:44 AM | GPUS=[0, 1, 2, 3]
07/09 12:47:44 AM | GRAD_CLIP=5.0
07/09 12:47:44 AM | INIT_CHANNELS=36
07/09 12:47:44 AM | INPUT_SIZE=32
07/09 12:47:44 AM | LAYERS=8
07/09 12:47:44 AM | LR=0.05
07/09 12:47:44 AM | MOMENTUM=0.9
07/09 12:47:44 AM | NAME=hsd-mg
07/09 12:47:44 AM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_00:47:33_20209F60J4G9
07/09 12:47:44 AM | PRINT_FREQ=50
07/09 12:47:44 AM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 12:47:44 AM | SAVE_PATH=
07/09 12:47:44 AM | SEED=2
07/09 12:47:44 AM | VAL_SET=0
07/09 12:47:44 AM | WEIGHT_DECAY=0.0003
07/09 12:47:44 AM | WORKERS=8
07/09 12:47:44 AM | 
07/09 12:47:44 AM | Logger is set - training start
07/09 12:48:11 AM | Model size = 1.391 MB
07/09 12:48:11 AM | Epoch 0 LR 0.05
07/09 12:48:20 AM | Train: [  1/600] Step 000/071 Loss: 1.075 Recall: 0.540 FA: 86 F1: 0.483755
07/09 12:48:20 AM | [46 86 57 67]
07/09 12:48:37 AM | Train: [  1/600] Step 050/071 Loss: 0.561 Recall: 0.739 FA: 5 F1: 0.832653
07/09 12:48:37 AM | [113   5  36 102]
07/09 12:48:46 AM | Train: [  1/600] Step 071/071 Loss: 0.510 Recall: 0.870 FA: 1 F1: 0.909091
07/09 12:48:46 AM | [25  1  3 20]
07/09 12:48:46 AM | Train: [  1/600] Final Recall 85.7772% FA 1658 F1: 84.0833%
07/09 12:48:46 AM | [7483 1658 1292 7792]
07/09 12:48:47 AM | Valid: [  1/600] Step 000/061 Loss: 0.315 Recall: 0.769 FA: 21 F1: 0.454545
07/09 12:48:47 AM | [222  21   3  10]
07/09 12:48:50 AM | Valid: [  1/600] Final Recall 68.2377% FA 726 F1: 43.0511%
07/09 12:48:50 AM | [6466  726  155  333]
07/09 12:48:50 AM | Valid: Time Spent: 3.685776s
07/09 12:48:50 AM | 

07/09 12:48:50 AM | [0.4305106658047834]
07/09 12:48:50 AM | Model size = 1.365 MB
07/09 12:48:50 AM | Epoch 0 LR 0.05
07/09 12:48:52 AM | Train: [  1/600] Step 000/071 Loss: 1.112 Recall: 0.331 FA: 91 F1: 0.323077
07/09 12:48:52 AM | [38 91 85 42]
07/09 12:49:09 AM | Train: [  1/600] Step 050/071 Loss: 0.524 Recall: 0.926 FA: 17 F1: 0.896825
07/09 12:49:09 AM | [117  17   9 113]
07/09 12:49:17 AM | Train: [  1/600] Step 071/071 Loss: 0.479 Recall: 0.900 FA: 6 F1: 0.818182
07/09 12:49:17 AM | [23  6  2 18]
07/09 12:49:17 AM | Train: [  1/600] Final Recall 85.5493% FA 1414 F1: 85.0157%
07/09 12:49:17 AM | [7808 1414 1301 7702]
