07/09 08:19:05 PM | 
07/09 08:19:05 PM | Parameters:
07/09 08:19:05 PM | AUX_WEIGHT=0.4
07/09 08:19:05 PM | BATCH_SIZE=256
07/09 08:19:05 PM | CUTOUT_LENGTH=16
07/09 08:19:05 PM | DATA_LOADER_TYPE=Torch
07/09 08:19:05 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 08:19:05 PM | DATASET=iccad19
07/09 08:19:05 PM | DROP_PATH_PROB=0.2
07/09 08:19:05 PM | EPOCHS=600
07/09 08:19:05 PM | FEALEN=32
07/09 08:19:05 PM | FILE=
07/09 08:19:05 PM | GENOTYPE=None
07/09 08:19:05 PM | GPUS=[0, 1, 2, 3]
07/09 08:19:05 PM | GRAD_CLIP=5.0
07/09 08:19:05 PM | INIT_CHANNELS=36
07/09 08:19:05 PM | INPUT_SIZE=32
07/09 08:19:05 PM | LAYERS=8
07/09 08:19:05 PM | LR=0.05
07/09 08:19:05 PM | MOMENTUM=0.9
07/09 08:19:05 PM | NAME=hsd-mg
07/09 08:19:05 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_20:18:54_2020ZZYJVCIF
07/09 08:19:05 PM | PRINT_FREQ=50
07/09 08:19:05 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 08:19:05 PM | SAVE_PATH=
07/09 08:19:05 PM | SEED=2
07/09 08:19:05 PM | VAL_SET=0
07/09 08:19:05 PM | WEIGHT_DECAY=0.0003
07/09 08:19:05 PM | WORKERS=8
07/09 08:19:05 PM | 
07/09 08:19:05 PM | Logger is set - training start
07/09 08:22:52 PM | Model size = 1.387 MB
07/09 08:22:52 PM | Epoch 0 LR 0.05
07/09 08:23:03 PM | Train: [  1/600] Step 000/071 Loss: 1.067 Recall: 0.472 FA: 100 F1: 0.418118
07/09 08:23:03 PM | [ 29 100  67  60]
07/09 08:23:24 PM | Train: [  1/600] Step 050/071 Loss: 0.536 Recall: 0.921 FA: 26 F1: 0.857143
07/09 08:23:24 PM | [116  26   9 105]
07/09 08:23:36 PM | Train: [  1/600] Step 071/071 Loss: 0.492 Recall: 0.833 FA: 8 F1: 0.731707
07/09 08:23:36 PM | [23  8  3 15]
07/09 08:23:36 PM | Train: [  1/600] Final Recall 85.7506% FA 1434 F1: 85.0637%
07/09 08:23:36 PM | [7752 1434 1288 7751]
07/09 08:23:37 PM | Valid: [  1/600] Step 000/061 Loss: 0.219 Recall: 0.692 FA: 19 F1: 0.439024
07/09 08:23:37 PM | [224  19   4   9]
07/09 08:23:41 PM | Valid: [  1/600] Final Recall 71.3115% FA 684 F1: 45.7895%
07/09 08:23:41 PM | [6508  684  140  348]
07/09 08:23:41 PM | Valid: Time Spent: 4.399819s
07/09 08:23:41 PM | 

07/09 08:23:41 PM | [0.4578947368421053]
07/09 08:26:53 PM | Model size = 1.172 MB
07/09 08:26:53 PM | Epoch 0 LR 0.05
07/09 08:26:55 PM | Train: [  1/600] Step 000/071 Loss: 0.992 Recall: 0.571 FA: 32 F1: 0.634921
07/09 08:26:55 PM | [84 32 60 80]
07/09 08:27:12 PM | Train: [  1/600] Step 050/071 Loss: 0.603 Recall: 0.853 FA: 9 F1: 0.888889
07/09 08:27:12 PM | [111   9  20 116]
07/09 08:27:19 PM | Train: [  1/600] Step 071/071 Loss: 0.555 Recall: 0.893 FA: 1 F1: 0.925926
07/09 08:27:19 PM | [20  1  3 25]
07/09 08:27:19 PM | Train: [  1/600] Final Recall 85.4506% FA 1569 F1: 84.4435%
07/09 08:27:19 PM | [7391 1569 1348 7917]
07/09 08:27:19 PM | Valid: [  1/600] Step 000/061 Loss: 0.186 Recall: 0.684 FA: 15 F1: 0.553191
07/09 08:27:19 PM | [222  15   6  13]
07/09 08:27:23 PM | Valid: [  1/600] Final Recall 50.3055% FA 476 F1: 40.6919%
07/09 08:27:23 PM | [6713  476  244  247]
07/09 08:27:23 PM | Valid: Time Spent: 3.787547s
07/09 08:27:23 PM | 

07/09 08:27:23 PM | [0.40691927512355847]
07/09 08:30:38 PM | Model size = 1.328 MB
07/09 08:30:38 PM | Epoch 0 LR 0.05
07/09 08:30:39 PM | Train: [  1/600] Step 000/071 Loss: 0.928 Recall: 0.526 FA: 34 F1: 0.590717
07/09 08:30:39 PM | [89 34 63 70]
07/09 08:30:58 PM | Train: [  1/600] Step 050/071 Loss: 0.507 Recall: 0.933 FA: 20 F1: 0.888889
07/09 08:30:58 PM | [116  20   8 112]
07/09 08:31:06 PM | Train: [  1/600] Step 071/071 Loss: 0.475 Recall: 0.778 FA: 2 F1: 0.840000
07/09 08:31:06 PM | [20  2  6 21]
07/09 08:31:06 PM | Train: [  1/600] Final Recall 86.6725% FA 1382 F1: 85.9123%
07/09 08:31:06 PM | [7689 1382 1220 7934]
07/09 08:31:06 PM | Valid: [  1/600] Step 000/061 Loss: 0.570 Recall: 0.773 FA: 40 F1: 0.430380
07/09 08:31:06 PM | [194  40   5  17]
07/09 08:31:13 PM | Valid: [  1/600] Final Recall 81.3163% FA 1050 F1: 40.2311%
07/09 08:31:13 PM | [5909 1050   88  383]
07/09 08:31:13 PM | Valid: Time Spent: 7.055833s
07/09 08:31:13 PM | 

07/09 08:31:13 PM | [0.4023109243697479]
07/09 08:34:29 PM | Model size = 1.484 MB
07/09 08:34:29 PM | Epoch 0 LR 0.05
07/09 08:34:31 PM | Train: [  1/600] Step 000/071 Loss: 0.945 Recall: 0.622 FA: 29 F1: 0.672340
07/09 08:34:31 PM | [100  29  48  79]
07/09 08:34:53 PM | Train: [  1/600] Step 050/071 Loss: 0.516 Recall: 0.926 FA: 25 F1: 0.868217
07/09 08:34:53 PM | [110  25   9 112]
07/09 08:35:02 PM | Train: [  1/600] Step 071/071 Loss: 0.475 Recall: 1.000 FA: 2 F1: 0.958333
07/09 08:35:02 PM | [24  2  0 23]
07/09 08:35:02 PM | Train: [  1/600] Final Recall 86.8612% FA 1395 F1: 85.9057%
07/09 08:35:02 PM | [7750 1395 1193 7887]
07/09 08:35:02 PM | Valid: [  1/600] Step 000/061 Loss: 1.023 Recall: 0.714 FA: 53 F1: 0.337079
07/09 08:35:02 PM | [182  53   6  15]
07/09 08:35:07 PM | Valid: [  1/600] Final Recall 72.9124% FA 1399 F1: 31.8505%
07/09 08:35:07 PM | [5790 1399  133  358]
07/09 08:35:07 PM | Valid: Time Spent: 4.396650s
07/09 08:35:07 PM | 

07/09 08:35:07 PM | [0.31850533807829184]
07/09 08:38:12 PM | Model size = 1.517 MB
07/09 08:38:12 PM | Epoch 0 LR 0.05
07/09 08:38:13 PM | Train: [  1/600] Step 000/071 Loss: 1.467 Recall: 0.361 FA: 105 F1: 0.322097
07/09 08:38:13 PM | [ 32 105  76  43]
07/09 08:38:34 PM | Train: [  1/600] Step 050/071 Loss: 0.569 Recall: 0.899 FA: 22 F1: 0.862903
07/09 08:38:34 PM | [115  22  12 107]
07/09 08:38:43 PM | Train: [  1/600] Step 071/071 Loss: 0.518 Recall: 0.950 FA: 5 F1: 0.863636
07/09 08:38:43 PM | [24  5  1 19]
07/09 08:38:43 PM | Train: [  1/600] Final Recall 85.0437% FA 1597 F1: 83.9013%
07/09 08:38:43 PM | [7595 1597 1351 7682]
07/09 08:38:43 PM | Valid: [  1/600] Step 000/061 Loss: 0.422 Recall: 0.750 FA: 41 F1: 0.433735
07/09 08:38:43 PM | [191  41   6  18]
07/09 08:38:47 PM | Valid: [  1/600] Final Recall 76.9068% FA 1406 F1: 32.3963%
