07/09 11:58:21 PM | 
07/09 11:58:21 PM | Parameters:
07/09 11:58:21 PM | AUX_WEIGHT=0.4
07/09 11:58:21 PM | BATCH_SIZE=256
07/09 11:58:21 PM | CUTOUT_LENGTH=16
07/09 11:58:21 PM | DATA_LOADER_TYPE=Torch
07/09 11:58:21 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/09 11:58:21 PM | DATASET=iccad19
07/09 11:58:21 PM | DROP_PATH_PROB=0.2
07/09 11:58:21 PM | EPOCHS=600
07/09 11:58:21 PM | FEALEN=32
07/09 11:58:21 PM | FILE=
07/09 11:58:21 PM | GENOTYPE=None
07/09 11:58:21 PM | GPUS=[0, 1, 2, 3]
07/09 11:58:21 PM | GRAD_CLIP=5.0
07/09 11:58:21 PM | INIT_CHANNELS=36
07/09 11:58:21 PM | INPUT_SIZE=32
07/09 11:58:21 PM | LAYERS=8
07/09 11:58:21 PM | LR=0.05
07/09 11:58:21 PM | MOMENTUM=0.9
07/09 11:58:21 PM | NAME=hsd-mg
07/09 11:58:21 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Thu_Jul__9_23:58:11_2020N9KVWQ79
07/09 11:58:21 PM | PRINT_FREQ=50
07/09 11:58:21 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/09 11:58:21 PM | SAVE_PATH=
07/09 11:58:21 PM | SEED=2
07/09 11:58:21 PM | VAL_SET=0
07/09 11:58:21 PM | WEIGHT_DECAY=0.0003
07/09 11:58:21 PM | WORKERS=8
07/09 11:58:21 PM | 
07/09 11:58:21 PM | Logger is set - training start
07/09 11:59:00 PM | Model size = 1.406 MB
07/09 11:59:00 PM | Epoch 0 LR 0.05
07/09 11:59:13 PM | Train: [  1/600] Step 000/071 Loss: 1.023 Recall: 0.470 FA: 53 F1: 0.504000
07/09 11:59:13 PM | [69 53 71 63]
07/09 11:59:34 PM | Train: [  1/600] Step 050/071 Loss: 0.586 Recall: 0.886 FA: 15 F1: 0.886364
07/09 11:59:34 PM | [109  15  15 117]
07/09 11:59:46 PM | Train: [  1/600] Step 071/071 Loss: 0.536 Recall: 0.821 FA: 4 F1: 0.836364
07/09 11:59:46 PM | [17  4  5 23]
07/09 11:59:46 PM | Train: [  1/600] Final Recall 85.2146% FA 1618 F1: 84.0414%
07/09 11:59:46 PM | [7402 1618 1361 7844]
07/09 11:59:46 PM | Valid: [  1/600] Step 000/061 Loss: 0.181 Recall: 0.533 FA: 8 F1: 0.516129
07/09 11:59:46 PM | [233   8   7   8]
07/09 11:59:51 PM | Valid: [  1/600] Final Recall 37.7083% FA 328 F1: 36.6026%
07/09 11:59:51 PM | [6872  328  299  181]
07/09 11:59:51 PM | Valid: Time Spent: 5.681692s
07/09 11:59:51 PM | [0.3660262891809909]
07/09 11:59:54 PM | Model size = 1.354 MB
07/09 11:59:54 PM | Epoch 0 LR 0.05
07/09 11:59:56 PM | Train: [  1/600] Step 000/071 Loss: 0.995 Recall: 0.504 FA: 72 F1: 0.492647
07/09 11:59:56 PM | [51 72 66 67]
07/10 12:00:18 AM | Train: [  1/600] Step 050/071 Loss: 0.518 Recall: 0.917 FA: 16 F1: 0.900369
07/10 12:00:18 AM | [107  16  11 122]
07/10 12:00:27 AM | Train: [  1/600] Step 071/071 Loss: 0.474 Recall: 0.895 FA: 2 F1: 0.894737
07/10 12:00:27 AM | [28  2  2 17]
07/10 12:00:27 AM | Train: [  1/600] Final Recall 86.2009% FA 1359 F1: 85.7762%
07/10 12:00:27 AM | [7677 1359 1268 7921]
07/10 12:00:27 AM | Valid: [  1/600] Step 000/061 Loss: 1.144 Recall: 0.800 FA: 53 F1: 0.225352
07/10 12:00:27 AM | [193  53   2   8]
07/10 12:00:31 AM | Valid: [  1/600] Final Recall 89.3910% FA 1713 F1: 33.9933%
07/10 12:00:31 AM | [5458 1713   54  455]
07/10 12:00:31 AM | Valid: Time Spent: 4.151955s
07/10 12:00:31 AM | [0.33993276055285765]
07/10 12:00:33 AM | Model size = 1.233 MB
07/10 12:00:33 AM | Epoch 0 LR 0.05
07/10 12:00:34 AM | Train: [  1/600] Step 000/071 Loss: 0.944 Recall: 0.518 FA: 40 F1: 0.574803
07/10 12:00:34 AM | [75 40 68 73]
07/10 12:00:50 AM | Train: [  1/600] Step 050/071 Loss: 0.557 Recall: 0.899 FA: 21 F1: 0.866397
07/10 12:00:50 AM | [116  21  12 107]
07/10 12:00:56 AM | Train: [  1/600] Step 071/071 Loss: 0.516 Recall: 0.864 FA: 3 F1: 0.863636
07/10 12:00:56 AM | [24  3  3 19]
07/10 12:00:57 AM | Train: [  1/600] Final Recall 83.7293% FA 1512 F1: 83.6103%
07/10 12:00:57 AM | [7580 1512 1486 7647]
07/10 12:00:57 AM | Valid: [  1/600] Step 000/061 Loss: 0.141 Recall: 0.083 FA: 0 F1: 0.153846
07/10 12:00:57 AM | [244   0  11   1]
07/10 12:01:02 AM | Valid: [  1/600] Final Recall 10.8696% FA 49 F1: 18.0328%
07/10 12:01:02 AM | [6875   49  451   55]
07/10 12:01:02 AM | Valid: Time Spent: 5.891297s
07/10 12:01:02 AM | [0.180327868852459]
07/10 12:01:04 AM | Model size = 1.360 MB
07/10 12:01:04 AM | Epoch 0 LR 0.05
07/10 12:01:06 AM | Train: [  1/600] Step 000/071 Loss: 1.090 Recall: 0.394 FA: 44 F1: 0.456140
07/10 12:01:06 AM | [80 44 80 52]
07/10 12:01:26 AM | Train: [  1/600] Step 050/071 Loss: 0.642 Recall: 0.937 FA: 19 F1: 0.898113
07/10 12:01:26 AM | [110  19   8 119]
07/10 12:01:36 AM | Train: [  1/600] Step 071/071 Loss: 0.575 Recall: 0.895 FA: 9 F1: 0.755556
07/10 12:01:36 AM | [21  9  2 17]
07/10 12:01:36 AM | Train: [  1/600] Final Recall 84.3133% FA 1592 F1: 83.5707%
07/10 12:01:36 AM | [7517 1592 1430 7686]
07/10 12:01:36 AM | Valid: [  1/600] Step 000/061 Loss: 0.362 Recall: 0.750 FA: 32 F1: 0.447761
07/10 12:01:36 AM | [204  32   5  15]
07/10 12:01:40 AM | Valid: [  1/600] Final Recall 70.2760% FA 1054 F1: 35.6681%
07/10 12:01:40 AM | [6155 1054  140  331]
07/10 12:01:40 AM | Valid: Time Spent: 4.159677s
07/10 12:01:40 AM | [0.3566810344827586]
