07/08 10:48:47 PM | 
07/08 10:48:47 PM | Parameters:
07/08 10:48:47 PM | AUX_WEIGHT=0.4
07/08 10:48:47 PM | BATCH_SIZE=256
07/08 10:48:47 PM | CUTOUT_LENGTH=16
07/08 10:48:47 PM | DATA_LOADER_TYPE=Torch
07/08 10:48:47 PM | DATA_PATH=/home/yyjiang/Projects/data/iccad19/iccad_2019_dct/32x32
07/08 10:48:47 PM | DATASET=iccad19
07/08 10:48:47 PM | DROP_PATH_PROB=0.2
07/08 10:48:47 PM | EPOCHS=600
07/08 10:48:47 PM | FEALEN=32
07/08 10:48:47 PM | FILE=
07/08 10:48:47 PM | GENOTYPE=None
07/08 10:48:47 PM | GPUS=[0, 1, 2, 3]
07/08 10:48:47 PM | GRAD_CLIP=5.0
07/08 10:48:47 PM | INIT_CHANNELS=36
07/08 10:48:47 PM | INPUT_SIZE=32
07/08 10:48:47 PM | LAYERS=15
07/08 10:48:47 PM | LR=0.05
07/08 10:48:47 PM | MOMENTUM=0.9
07/08 10:48:47 PM | NAME=hsd-mg
07/08 10:48:47 PM | PATH=/home/yyjiang/Projects/bayes_darts/augments/hsd-mg/Wed_Jul__8_22:48:36_2020VMM0HV6E
07/08 10:48:47 PM | PRINT_FREQ=50
07/08 10:48:47 PM | SAVE_DIR=/home/yyjiang/Projects/bayes_darts/augments
07/08 10:48:47 PM | SAVE_PATH=
07/08 10:48:47 PM | SEED=2
07/08 10:48:47 PM | VAL_SET=0
07/08 10:48:47 PM | WEIGHT_DECAY=0.0003
07/08 10:48:47 PM | WORKERS=8
07/08 10:48:47 PM | 
07/08 10:48:47 PM | Logger is set - training start
07/08 10:49:13 PM | Model size = 3.514 MB
07/08 10:49:13 PM | Epoch 0 LR 0.037500000000000006
07/08 10:49:25 PM | Train: [  1/600] Step 000/071 Loss: 0.964 Recall: 0.285 FA: 19 F1: 0.395480
07/08 10:49:25 PM | [114  19  88  35]
07/08 10:50:27 PM | Train: [  1/600] Step 050/071 Loss: 0.802 Recall: 0.863 FA: 44 F1: 0.778182
07/08 10:50:27 PM | [ 88  44  17 107]
07/08 10:50:58 PM | Train: [  1/600] Step 071/071 Loss: 0.771 Recall: 0.708 FA: 5 F1: 0.739130
07/08 10:50:58 PM | [20  5  7 17]
07/08 10:50:58 PM | Train: [  1/600] Final Recall 68.4431% FA 2065 F1: 71.6005%
07/08 10:50:58 PM | [7078 2065 2866 6216]
07/08 10:50:59 PM | Valid: [  1/600] Step 000/061 Loss: 1.383 Recall: 1.000 FA: 131 F1: 0.165605
07/08 10:50:59 PM | [112 131   0  13]
07/08 10:51:06 PM | Valid: [  1/600] Final Recall 91.0543% FA 2448 F1: 18.7131%
07/08 10:51:06 PM | [2359 2448   28  285]
07/08 10:51:06 PM | Valid: Time Spent: 8.261505s
07/08 10:51:06 PM | 

07/08 10:51:06 PM | Epoch 1 LR 0.012500000000000006
07/08 10:51:10 PM | Train: [  2/600] Step 000/071 Loss: 0.630 Recall: 0.798 FA: 25 F1: 0.794979
07/08 10:51:10 PM | [112  25  24  95]
07/08 10:52:12 PM | Train: [  2/600] Step 050/071 Loss: 0.620 Recall: 0.827 FA: 14 F1: 0.853659
07/08 10:52:12 PM | [115  14  22 105]
07/08 10:52:38 PM | Train: [  2/600] Step 071/071 Loss: 0.603 Recall: 0.708 FA: 7 F1: 0.708333
07/08 10:52:38 PM | [18  7  7 17]
07/08 10:52:38 PM | Train: [  2/600] Final Recall 82.3347% FA 1915 F1: 80.9169%
07/08 10:52:38 PM | [7264 1915 1598 7448]
07/08 10:52:39 PM | Valid: [  2/600] Step 000/061 Loss: 0.470 Recall: 0.706 FA: 45 F1: 0.324324
07/08 10:52:39 PM | [194  45   5  12]
07/08 10:52:47 PM | Valid: [  2/600] Final Recall 66.7692% FA 749 F1: 33.6174%
07/08 10:52:47 PM | [4046  749  108  217]
07/08 10:52:47 PM | Valid: Time Spent: 8.448109s
07/08 10:52:47 PM | 

07/08 10:52:47 PM | Epoch 2 LR 0.0
07/08 10:52:49 PM | Train: [  3/600] Step 000/071 Loss: 0.619 Recall: 0.815 FA: 31 F1: 0.789063
07/08 10:52:49 PM | [101  31  23 101]
07/08 10:53:50 PM | Train: [  3/600] Step 050/071 Loss: 0.556 Recall: 0.824 FA: 19 F1: 0.838951
07/08 10:53:50 PM | [101  19  24 112]
07/08 10:54:15 PM | Train: [  3/600] Step 071/071 Loss: 0.553 Recall: 0.815 FA: 4 F1: 0.830189
07/08 10:54:15 PM | [18  4  5 22]
07/08 10:54:15 PM | Train: [  3/600] Final Recall 84.2646% FA 1622 F1: 83.3579%
07/08 10:54:15 PM | [7547 1622 1425 7631]
07/08 10:54:16 PM | Valid: [  3/600] Step 000/061 Loss: 0.462 Recall: 0.789 FA: 51 F1: 0.352941
07/08 10:54:16 PM | [186  51   4  15]
07/08 10:54:23 PM | Valid: [  3/600] Final Recall 78.2991% FA 1102 F1: 31.2281%
07/08 10:54:23 PM | [3677 1102   74  267]
07/08 10:54:23 PM | Valid: Time Spent: 8.003716s
07/08 10:54:23 PM | 

